,precision,recall,f1-score,support
Normal,0.0,0.0,0.0,2.0
Abnormal,0.8571428571428571,1.0,0.9230769230769231,12.0
accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
macro avg,0.42857142857142855,0.5,0.46153846153846156,14.0
weighted avg,0.7346938775510203,0.8571428571428571,0.7912087912087912,14.0
