,precision,recall,f1-score,support
Gait,0.5,0.6666666666666666,0.5714285714285714,3.0
Sitting,1.0,0.6,0.75,5.0
Standing,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
accuracy,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
macro avg,0.7380952380952381,0.7000000000000001,0.696886446886447,14.0
weighted avg,0.770408163265306,0.7142857142857143,0.7199764521193093,14.0
