epoch,train_loss,test_loss,train_acc_action,test_acc_action,train_acc_status,test_acc_status,learning_rate,epoch_time
1,1.9122955799102783,1.7618916034698486,28.846153846153847,57.142857142857146,17.307692307692307,21.428571428571427,0.00039990131207314633,0.903663158416748
2,1.800254464149475,1.79850172996521,42.30769230769231,28.571428571428573,51.92307692307692,78.57142857142857,0.00039960534568565434,0.6006066799163818
3,1.7766772508621216,1.7051103115081787,34.61538461538461,50.0,71.15384615384616,85.71428571428571,0.00039911239292061604,0.5906569957733154
4,1.7167551517486572,1.7380411624908447,44.23076923076923,28.571428571428573,76.92307692307692,85.71428571428571,0.00039842294026289565,0.5879216194152832
5,1.7120572328567505,1.645668625831604,38.46153846153846,50.0,82.6923076923077,85.71428571428571,0.0003975376681190276,0.5919144153594971
6,1.7098759412765503,1.6132690906524658,34.61538461538461,57.142857142857146,82.6923076923077,85.71428571428571,0.0003964574501457378,0.5857501029968262
7,1.6718844771385193,1.613586664199829,50.0,57.142857142857146,82.6923076923077,85.71428571428571,0.00039518335238774953,0.5965886116027832
8,1.6347227692604065,1.6638338565826416,42.30769230769231,50.0,82.6923076923077,85.71428571428571,0.00039371663222572626,0.5935096740722656
9,1.6163032054901123,1.676295518875122,51.92307692307692,35.714285714285715,80.76923076923077,85.71428571428571,0.0003920587371353887,0.6107614040374756
10,1.6298475861549377,1.6128849983215332,42.30769230769231,42.857142857142854,80.76923076923077,85.71428571428571,0.0003902113032590308,0.5895791053771973
11,1.673282504081726,1.632380485534668,40.38461538461539,42.857142857142854,82.6923076923077,85.71428571428571,0.0003881761537908452,0.5876274108886719
12,1.6460761427879333,1.5766937732696533,40.38461538461539,50.0,82.6923076923077,85.71428571428571,0.0003859552971776504,0.5959396362304688
13,1.5207576155662537,1.5736936330795288,59.61538461538461,50.0,82.6923076923077,85.71428571428571,0.0003835509251367963,0.5872442722320557
14,1.6884050369262695,1.4900381565093994,40.38461538461539,64.28571428571429,82.6923076923077,85.71428571428571,0.000380965410493204,0.5943872928619385
15,1.5776089429855347,1.4606012105941772,51.92307692307692,78.57142857142857,82.6923076923077,85.71428571428571,0.0003782013048376737,0.5945055484771729
16,1.501217246055603,1.493467092514038,53.84615384615385,42.857142857142854,82.6923076923077,85.71428571428571,0.00037526133600877283,0.5856912136077881
17,1.5606452226638794,1.5422508716583252,48.07692307692308,64.28571428571429,82.6923076923077,85.71428571428571,0.0003721484054007889,0.6032505035400391
