epoch,train_loss,val_loss,train_acc_action,train_acc_status,val_acc_action,val_acc_status,learning_rate
1,1.7726107239723206,1.7657755613327026,0.3076923076923077,0.8076923076923077,0.42857142857142855,0.8571428571428571,0.0004
2,1.7724900841712952,1.7239158153533936,0.3269230769230769,0.8269230769230769,0.42857142857142855,0.8571428571428571,0.004995066821070679
3,1.7204203605651855,1.5940377712249756,0.34615384615384615,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.004980286753286195
4,1.5529589653015137,1.6068954467773438,0.34615384615384615,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.004955718126821722
5,1.680891513824463,1.546401858329773,0.36538461538461536,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.004921457902821578
6,1.656754493713379,1.5042963027954102,0.38461538461538464,0.8269230769230769,0.42857142857142855,0.8571428571428571,0.0048776412907378846
7,1.6262294054031372,1.5535056591033936,0.2692307692307692,0.8269230769230769,0.42857142857142855,0.8571428571428571,0.004824441214720628
8,1.6162195801734924,1.5711729526519775,0.38461538461538464,0.8269230769230769,0.42857142857142855,0.8571428571428571,0.004762067631165049
9,1.6614460349082947,1.5665695667266846,0.28846153846153844,0.8269230769230769,0.42857142857142855,0.8571428571428571,0.0046907667001096585
10,1.5966682434082031,1.5582876205444336,0.38461538461538464,0.8269230769230769,0.35714285714285715,0.8571428571428571,0.004610819813755038
11,1.5995548963546753,1.545250415802002,0.38461538461538464,0.8269230769230769,0.35714285714285715,0.8571428571428571,0.0045225424859373685
12,1.5916528701782227,1.543628454208374,0.46153846153846156,0.8269230769230769,0.35714285714285715,0.8571428571428571,0.004426283106939473
13,1.5731598138809204,1.5405585765838623,0.36538461538461536,0.8269230769230769,0.35714285714285715,0.8571428571428571,0.004322421568553529
14,1.5862699151039124,1.547620415687561,0.25,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.004211367764821722
15,1.5252792239189148,1.5495206117630005,0.4230769230769231,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.004093559974371724
16,1.6228167414665222,1.5573344230651855,0.28846153846153844,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.003969463130731183
17,1.6738824844360352,1.5589444637298584,0.36538461538461536,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0038395669874474914
18,1.531573235988617,1.5563910007476807,0.4230769230769231,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0037043841852542883
19,1.5994803309440613,1.5482022762298584,0.38461538461538464,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.003564448228912682
20,1.5571156740188599,1.548203945159912,0.3269230769230769,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0034203113817116953
21,1.6246138215065002,1.5481998920440674,0.2692307692307692,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0032725424859373687
22,1.5400123000144958,1.5521798133850098,0.4230769230769231,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0031217247179121366
23,1.560279130935669,1.5537257194519043,0.34615384615384615,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.002968453286464312
24,1.5760291814804077,1.5488872528076172,0.3269230769230769,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.002813333083910761
