epoch,train_loss,val_loss,train_acc_action,train_acc_status,val_acc_action,val_acc_status,learning_rate
1,1.8396613597869873,1.663822054862976,0.34615384615384615,0.5,0.21428571428571427,0.8571428571428571,0.0004
2,1.6230559945106506,1.620797038078308,0.2692307692307692,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.00039990131207314633
3,1.5222445726394653,1.562690019607544,0.40384615384615385,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.00039960534568565434
4,1.5649371147155762,1.5177807807922363,0.34615384615384615,0.8269230769230769,0.2857142857142857,0.8571428571428571,0.00039911239292061604
5,1.5449374914169312,1.5097442865371704,0.34615384615384615,0.8269230769230769,0.42857142857142855,0.8571428571428571,0.00039842294026289565
6,1.547858715057373,1.4788113832473755,0.5,0.8269230769230769,0.5714285714285714,0.8571428571428571,0.0003975376681190276
7,1.4888374209403992,1.4174432754516602,0.5384615384615384,0.8269230769230769,0.5,0.8571428571428571,0.0003964574501457378
8,1.4990061521530151,1.4600498676300049,0.5,0.8269230769230769,0.35714285714285715,0.8571428571428571,0.00039518335238774953
9,1.467124342918396,1.4883880615234375,0.5192307692307693,0.8269230769230769,0.35714285714285715,0.8571428571428571,0.00039371663222572626
10,1.4575828909873962,1.3414160013198853,0.5384615384615384,0.8269230769230769,0.7142857142857143,0.8571428571428571,0.0003920587371353887
11,1.4041709899902344,1.4105169773101807,0.6538461538461539,0.8269230769230769,0.5714285714285714,0.8571428571428571,0.0003902113032590308
12,1.490170955657959,1.4577090740203857,0.5769230769230769,0.8269230769230769,0.5714285714285714,0.8571428571428571,0.0003881761537908452
13,1.459550380706787,1.346934199333191,0.5192307692307693,0.8269230769230769,0.7857142857142857,0.8571428571428571,0.0003859552971776504
14,1.4134328961372375,1.3496025800704956,0.5576923076923077,0.8269230769230769,0.6428571428571429,0.8571428571428571,0.0003835509251367963
15,1.4049278497695923,1.2757835388183594,0.5192307692307693,0.8269230769230769,0.7142857142857143,0.8571428571428571,0.000380965410493204
16,1.280860185623169,1.325574517250061,0.6538461538461539,0.8269230769230769,0.5714285714285714,0.8571428571428571,0.0003782013048376737
17,1.309221863746643,1.4710922241210938,0.6153846153846154,0.8269230769230769,0.5714285714285714,0.8571428571428571,0.00037526133600877283
18,1.2342272400856018,1.5260056257247925,0.6923076923076923,0.8269230769230769,0.5714285714285714,0.8571428571428571,0.0003721484054007889
19,1.173988401889801,1.226729154586792,0.6923076923076923,0.8269230769230769,0.6428571428571429,0.8571428571428571,0.0003688655851004032
20,1.2921957969665527,1.2230700254440308,0.5769230769230769,0.8269230769230769,0.7142857142857143,0.8571428571428571,0.00036541611485491255
21,1.2105495929718018,1.335180401802063,0.6346153846153846,0.8269230769230769,0.7142857142857143,0.8571428571428571,0.0003618033988749897
22,1.131686955690384,1.0826510190963745,0.6346153846153846,0.8269230769230769,0.7142857142857143,0.8571428571428571,0.00035803100247513823
23,1.2219532132148743,0.9890792965888977,0.6153846153846154,0.8269230769230769,0.6428571428571429,0.8571428571428571,0.000354102648555158
24,1.0425464510917664,1.4672675132751465,0.7307692307692307,0.8269230769230769,0.5,0.8571428571428571,0.0003500222139260921
25,1.1204660534858704,1.3715403079986572,0.6153846153846154,0.8269230769230769,0.5714285714285714,0.8571428571428571,0.00034579372548428246
26,1.2883959412574768,1.2840074300765991,0.5769230769230769,0.8269230769230769,0.6428571428571429,0.8571428571428571,0.0003414213562373096
27,1.189866304397583,1.0687018632888794,0.6730769230769231,0.8461538461538461,0.5714285714285714,0.8571428571428571,0.00033690942118573785
28,1.0307061672210693,0.9063692092895508,0.6730769230769231,0.9038461538461539,0.6428571428571429,0.9285714285714286,0.0003322623730647305
29,1.1273210048675537,0.9363064765930176,0.5961538461538461,0.8846153846153846,0.6428571428571429,0.9285714285714286,0.00032748479794973803
30,1.0059399604797363,0.8975604176521301,0.6346153846153846,0.9423076923076923,0.7857142857142857,0.9285714285714286,0.00032258141073059543
31,1.0007916688919067,0.8553624749183655,0.6923076923076923,0.9615384615384616,0.7857142857142857,0.8571428571428571,0.0003175570504584948
32,1.2794448733329773,1.0736112594604492,0.5769230769230769,0.8653846153846154,0.5714285714285714,0.8571428571428571,0.0003124166755704263
33,0.851559191942215,1.151267170906067,0.7115384615384616,0.9807692307692307,0.7142857142857143,0.8571428571428571,0.0003071653589957995
34,0.958583801984787,1.1297423839569092,0.6538461538461539,0.9423076923076923,0.7142857142857143,0.8571428571428571,0.00030180828315007444
35,0.9742386341094971,1.0993787050247192,0.75,0.9038461538461539,0.6428571428571429,0.8571428571428571,0.0002963507348203432
36,1.0876637697219849,1.1637828350067139,0.5961538461538461,0.9038461538461539,0.6428571428571429,0.7857142857142857,0.00029079809994790953
37,1.0939985513687134,1.038749098777771,0.6346153846153846,0.9038461538461539,0.7142857142857143,0.8571428571428571,0.00028515585831301473
38,1.0589210987091064,1.184988260269165,0.6730769230769231,0.9230769230769231,0.7142857142857143,0.7857142857142857,0.0002794295781269563
39,0.7998915910720825,0.9622544050216675,0.8076923076923077,0.9615384615384616,0.8571428571428571,0.8571428571428571,0.0002736249105369358
40,0.9254896938800812,1.1972626447677612,0.8076923076923077,0.9423076923076923,0.7142857142857143,0.8571428571428571,0.0002677475840490585
41,0.9536420106887817,1.0743438005447388,0.7884615384615384,0.9615384615384616,0.7142857142857143,0.8571428571428571,0.0002618033988749897
42,0.8739447593688965,0.8910520076751709,0.7115384615384616,0.9230769230769231,0.5714285714285714,0.8571428571428571,0.0002557982212078461
43,0.9767811000347137,0.6293978095054626,0.6538461538461539,0.9230769230769231,0.8571428571428571,0.9285714285714286,0.00024973797743297113
44,0.9264514446258545,0.8581953644752502,0.6346153846153846,0.9423076923076923,0.8571428571428571,0.9285714285714286,0.00024362864827930873
45,1.0802701711654663,1.3957929611206055,0.5576923076923077,0.9230769230769231,0.5714285714285714,0.7857142857142857,0.00023747626291714514
46,0.9953230321407318,0.8065460920333862,0.5961538461538461,0.9807692307692307,0.6428571428571429,0.9285714285714286,0.00023128689300804637
47,0.9778880774974823,1.3769792318344116,0.6923076923076923,0.9615384615384616,0.5714285714285714,0.8571428571428571,0.00022506664671286108
48,0.8128044903278351,0.9643836617469788,0.7307692307692307,0.9615384615384616,0.7142857142857143,0.8571428571428571,0.00021882166266370303
49,0.8590621054172516,0.932811439037323,0.6923076923076923,0.9807692307692307,0.7857142857142857,0.9285714285714286,0.00021255810390586287
50,1.1142488718032837,1.9112892150878906,0.6346153846153846,0.9230769230769231,0.42857142857142855,0.7857142857142857,0.00020628215181562584
51,0.7926722168922424,1.0381240844726562,0.7307692307692307,0.9807692307692307,0.7857142857142857,0.8571428571428571,0.00020000000000000017
52,0.9203834533691406,0.8636642694473267,0.7115384615384616,0.9423076923076923,0.8571428571428571,0.8571428571428571,0.0001937178481843745
53,0.8150950074195862,0.7753188014030457,0.75,0.9807692307692307,0.7857142857142857,0.9285714285714286,0.00018744189609413747
54,0.7401100099086761,1.1203628778457642,0.75,1.0,0.7142857142857143,0.8571428571428571,0.00018117833733629726
55,0.8383308947086334,1.0216715335845947,0.6923076923076923,0.9423076923076923,0.7857142857142857,0.8571428571428571,0.0001749333532871393
56,0.9369125068187714,1.2075567245483398,0.6923076923076923,0.9423076923076923,0.5714285714285714,0.8571428571428571,0.00016871310699195395
57,0.7219821214675903,0.732823371887207,0.7884615384615384,0.9807692307692307,0.7142857142857143,0.9285714285714286,0.0001625237370828552
58,0.7734842896461487,1.1453485488891602,0.7307692307692307,0.9807692307692307,0.7142857142857143,0.9285714285714286,0.00015637135172069167
59,0.8276132941246033,1.0821998119354248,0.7307692307692307,0.9807692307692307,0.6428571428571429,0.8571428571428571,0.00015026202256702916
60,0.7428139746189117,1.1812043190002441,0.7884615384615384,0.9615384615384616,0.7142857142857143,0.8571428571428571,0.0001442017787921543
61,0.8328256905078888,1.306342363357544,0.7692307692307693,0.9423076923076923,0.5714285714285714,0.8571428571428571,0.0001381966011250107
62,0.8939723372459412,0.8042430877685547,0.7115384615384616,0.9615384615384616,0.8571428571428571,0.8571428571428571,0.00013225241595094187
63,0.7340376675128937,1.1188251972198486,0.75,0.9807692307692307,0.6428571428571429,0.8571428571428571,0.0001263750894630646
64,1.040696918964386,0.9712328910827637,0.6730769230769231,0.9423076923076923,0.5714285714285714,0.8571428571428571,0.00012057042187304399
65,0.8173874318599701,0.8114727735519409,0.75,0.9423076923076923,0.8571428571428571,0.9285714285714286,0.00011484414168698559
66,0.9533379673957825,0.901448130607605,0.6730769230769231,0.9423076923076923,0.6428571428571429,0.9285714285714286,0.00010920190005209077
67,0.97777059674263,1.2715122699737549,0.6730769230769231,0.9230769230769231,0.7857142857142857,0.7857142857142857,0.00010364926517965704
68,0.87875896692276,1.041283369064331,0.6346153846153846,1.0,0.7857142857142857,0.8571428571428571,9.819171684992585e-05
69,0.843684196472168,0.9584568738937378,0.7307692307692307,0.9423076923076923,0.7857142857142857,0.9285714285714286,9.283464100420074e-05
70,0.7740447819232941,0.7819411158561707,0.7884615384615384,0.9615384615384616,0.8571428571428571,0.8571428571428571,8.758332442957398e-05
71,0.7310745716094971,1.1896135807037354,0.7307692307692307,0.9615384615384616,0.5,0.8571428571428571,8.24429495415055e-05
72,0.7953172028064728,0.8533746004104614,0.7307692307692307,0.9615384615384616,0.7857142857142857,0.9285714285714286,7.741858926940478e-05
73,0.7594780325889587,0.7877493500709534,0.7307692307692307,0.9807692307692307,0.7857142857142857,0.9285714285714286,7.251520205026215e-05
74,0.6705077886581421,1.143846035003662,0.75,0.9807692307692307,0.7857142857142857,0.8571428571428571,6.773762693526975e-05
75,0.7818123400211334,0.8803256750106812,0.7115384615384616,0.9615384615384616,0.8571428571428571,0.8571428571428571,6.309057881426234e-05
76,0.7442211508750916,0.7880423069000244,0.7307692307692307,0.9615384615384616,0.7142857142857143,0.9285714285714286,5.857864376269059e-05
77,0.8171519339084625,0.9954745769500732,0.7115384615384616,0.9615384615384616,0.5714285714285714,0.8571428571428571,5.420627451571781e-05
78,0.8534427583217621,1.1430325508117676,0.6730769230769231,0.9038461538461539,0.6428571428571429,0.8571428571428571,4.9977786073908174e-05
79,0.867846667766571,1.3856942653656006,0.6730769230769231,0.9230769230769231,0.5714285714285714,0.7857142857142857,4.5897351444842234e-05
80,0.9382104873657227,1.0499240159988403,0.6730769230769231,0.9230769230769231,0.7857142857142857,0.8571428571428571,4.1968997524861976e-05
81,0.7940149307250977,0.8191403746604919,0.7307692307692307,0.9423076923076923,0.6428571428571429,0.9285714285714286,3.8196601125010586e-05
82,0.7208396196365356,1.0473471879959106,0.7115384615384616,1.0,0.7142857142857143,0.8571428571428571,3.458388514508772e-05
83,0.8713944554328918,0.8508201241493225,0.8076923076923077,0.9423076923076923,0.8571428571428571,0.8571428571428571,3.113441489959707e-05
84,0.8823423087596893,0.8606604337692261,0.8076923076923077,0.9423076923076923,0.7142857142857143,0.8571428571428571,2.7851594599211286e-05
85,0.7065344154834747,1.5301666259765625,0.75,1.0,0.5714285714285714,0.7857142857142857,2.4738663991227316e-05
86,0.8158350586891174,0.8796670436859131,0.8076923076923077,0.9615384615384616,0.7142857142857143,0.9285714285714286,2.179869516232647e-05
87,0.7927857041358948,0.933264434337616,0.6923076923076923,0.9807692307692307,0.7142857142857143,0.9285714285714286,1.9034589506796152e-05
88,0.8299019038677216,1.3840420246124268,0.7307692307692307,0.9615384615384616,0.6428571428571429,0.7857142857142857,1.6449074863203837e-05
89,0.7244612872600555,1.0147240161895752,0.75,0.9807692307692307,0.7857142857142857,0.8571428571428571,1.4044702822349747e-05
90,0.9351068735122681,1.1045327186584473,0.7115384615384616,0.9230769230769231,0.7142857142857143,0.8571428571428571,1.1823846209154923e-05
91,0.9380178451538086,1.411138653755188,0.6923076923076923,0.9615384615384616,0.6428571428571429,0.7857142857142857,9.788696740969305e-06
92,0.6585643291473389,0.8662700653076172,0.8076923076923077,0.9807692307692307,0.7857142857142857,0.9285714285714286,7.941262864611418e-06
93,0.9051711857318878,1.0704350471496582,0.6538461538461539,0.9423076923076923,0.7857142857142857,0.9285714285714286,6.283367774273814e-06
94,0.7480723559856415,1.6667218208312988,0.7692307692307693,0.9615384615384616,0.6428571428571429,0.7857142857142857,4.816647612250541e-06
95,0.7730051577091217,1.0071690082550049,0.6923076923076923,0.9615384615384616,0.7857142857142857,0.8571428571428571,3.54254985426226e-06
96,0.8595196008682251,1.2142455577850342,0.7692307692307693,0.9230769230769231,0.5714285714285714,0.8571428571428571,2.462331880972471e-06
97,0.6799561083316803,0.6534197330474854,0.8653846153846154,0.9615384615384616,0.9285714285714286,0.9285714285714286,1.577059737104449e-06
98,0.682533323764801,0.8896703720092773,0.8076923076923077,0.9615384615384616,0.7857142857142857,0.9285714285714286,8.876070793840018e-07
