,precision,recall,f1-score,support
Gait,0.5,1.0,0.6666666666666666,3.0
Sitting,1.0,1.0,1.0,5.0
Standing,1.0,0.5,0.6666666666666666,6.0
accuracy,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857
macro avg,0.8333333333333334,0.8333333333333334,0.7777777777777777,14.0
weighted avg,0.8928571428571429,0.7857142857142857,0.7857142857142857,14.0
