epoch,train_loss,test_loss,train_acc_action,test_acc_action,train_acc_status,test_acc_status,learning_rate,epoch_time
1,1.7256428599357605,1.7113127708435059,44.23076923076923,42.857142857142854,69.23076923076923,78.57142857142857,0.00039990131207314633,0.8871185779571533
2,1.697521984577179,1.7784855365753174,46.15384615384615,28.571428571428573,75.0,85.71428571428571,0.00039960534568565434,0.6210129261016846
3,1.6593586206436157,1.5863089561462402,42.30769230769231,35.714285714285715,78.84615384615384,85.71428571428571,0.00039911239292061604,0.625159502029419
4,1.7039862871170044,1.798839807510376,36.53846153846154,28.571428571428573,84.61538461538461,85.71428571428571,0.00039842294026289565,0.6229386329650879
5,1.6555150151252747,1.6412725448608398,40.38461538461539,50.0,82.6923076923077,85.71428571428571,0.0003975376681190276,0.6257829666137695
6,1.6294124722480774,1.4863865375518799,42.30769230769231,57.142857142857146,82.6923076923077,85.71428571428571,0.0003964574501457378,0.6254222393035889
7,1.6362618207931519,1.5072877407073975,46.15384615384615,50.0,82.6923076923077,85.71428571428571,0.00039518335238774953,0.6204540729522705
8,1.5706371068954468,1.5893685817718506,46.15384615384615,28.571428571428573,82.6923076923077,85.71428571428571,0.00039371663222572626,0.6203079223632812
9,1.6205270290374756,1.606203317642212,51.92307692307692,42.857142857142854,82.6923076923077,85.71428571428571,0.0003920587371353887,0.621666431427002
10,1.4813787937164307,1.499906063079834,50.0,57.142857142857146,82.6923076923077,85.71428571428571,0.0003902113032590308,0.6221737861633301
11,1.5078628659248352,1.5819523334503174,67.3076923076923,42.857142857142854,80.76923076923077,85.71428571428571,0.0003881761537908452,0.6158733367919922
12,1.5609389543533325,1.4798530340194702,40.38461538461539,57.142857142857146,82.6923076923077,85.71428571428571,0.0003859552971776504,0.6479718685150146
13,1.4655400514602661,1.4270086288452148,48.07692307692308,64.28571428571429,82.6923076923077,85.71428571428571,0.0003835509251367963,0.6145071983337402
14,1.546760082244873,1.3610879182815552,55.76923076923077,57.142857142857146,82.6923076923077,85.71428571428571,0.000380965410493204,0.6156489849090576
15,1.4979368448257446,1.323354721069336,44.23076923076923,64.28571428571429,82.6923076923077,85.71428571428571,0.0003782013048376737,0.6256418228149414
16,1.4092844724655151,1.369544267654419,57.69230769230769,71.42857142857143,82.6923076923077,85.71428571428571,0.00037526133600877283,0.6216833591461182
17,1.3700059652328491,1.4406416416168213,59.61538461538461,64.28571428571429,82.6923076923077,85.71428571428571,0.0003721484054007889,0.6117379665374756
18,1.43413907289505,1.410306692123413,55.76923076923077,71.42857142857143,82.6923076923077,85.71428571428571,0.0003688655851004032,0.620431661605835
19,1.5602681040763855,1.2864043712615967,46.15384615384615,57.142857142857146,82.6923076923077,85.71428571428571,0.00036541611485491255,0.6174626350402832
20,1.3544524908065796,1.5150961875915527,67.3076923076923,64.28571428571429,82.6923076923077,85.71428571428571,0.0003618033988749897,0.6256170272827148
21,1.3866251707077026,1.4660176038742065,53.84615384615385,57.142857142857146,82.6923076923077,85.71428571428571,0.00035803100247513823,0.6262280941009521
22,1.4143059253692627,1.4527549743652344,59.61538461538461,57.142857142857146,82.6923076923077,85.71428571428571,0.000354102648555158,0.617821455001831
23,1.3846063613891602,1.2795939445495605,55.76923076923077,57.142857142857146,82.6923076923077,85.71428571428571,0.0003500222139260921,0.6134381294250488
24,1.4351940155029297,1.4229316711425781,61.53846153846154,50.0,82.6923076923077,85.71428571428571,0.00034579372548428246,0.6103475093841553
25,1.347612202167511,1.4562747478485107,59.61538461538461,50.0,82.6923076923077,85.71428571428571,0.0003414213562373096,0.6199905872344971
26,1.3866116404533386,1.5591647624969482,53.84615384615385,42.857142857142854,82.6923076923077,85.71428571428571,0.00033690942118573785,0.6117346286773682
27,1.2600849866867065,1.5445311069488525,73.07692307692308,35.714285714285715,82.6923076923077,85.71428571428571,0.0003322623730647305,0.6147117614746094
28,1.383182168006897,1.2783219814300537,63.46153846153846,64.28571428571429,82.6923076923077,85.71428571428571,0.00032748479794973803,0.6194884777069092
29,1.3497254848480225,1.3581445217132568,65.38461538461539,64.28571428571429,82.6923076923077,85.71428571428571,0.00032258141073059543,0.6147453784942627
30,1.288217008113861,1.3640213012695312,63.46153846153846,64.28571428571429,82.6923076923077,85.71428571428571,0.0003175570504584948,0.6234817504882812
31,1.283937394618988,1.0507172346115112,67.3076923076923,92.85714285714286,82.6923076923077,85.71428571428571,0.0003124166755704263,0.6174020767211914
32,1.3247466087341309,1.069373369216919,67.3076923076923,92.85714285714286,82.6923076923077,85.71428571428571,0.0003071653589957995,0.6172294616699219
33,1.18625807762146,1.2330329418182373,75.0,64.28571428571429,82.6923076923077,85.71428571428571,0.00030180828315007444,0.6219675540924072
34,1.2305647134780884,1.2076144218444824,73.07692307692308,64.28571428571429,82.6923076923077,85.71428571428571,0.0002963507348203432,0.6106166839599609
35,1.2101858854293823,1.0456703901290894,75.0,85.71428571428571,82.6923076923077,85.71428571428571,0.00029079809994790953,0.6120116710662842
36,1.2092230319976807,1.1534861326217651,67.3076923076923,78.57142857142857,82.6923076923077,85.71428571428571,0.00028515585831301473,0.6205670833587646
37,1.2264620065689087,0.9919649362564087,73.07692307692308,100.0,82.6923076923077,85.71428571428571,0.0002794295781269563,0.6198244094848633
38,1.250784158706665,1.0150060653686523,71.15384615384616,78.57142857142857,82.6923076923077,85.71428571428571,0.0002736249105369358,0.6217901706695557
39,1.1268928050994873,1.0006359815597534,69.23076923076923,85.71428571428571,82.6923076923077,85.71428571428571,0.0002677475840490585,0.6134824752807617
40,1.2176309823989868,1.1250391006469727,73.07692307692308,78.57142857142857,82.6923076923077,85.71428571428571,0.0002618033988749897,0.6197588443756104
41,1.119888424873352,1.016167163848877,73.07692307692308,71.42857142857143,82.6923076923077,85.71428571428571,0.0002557982212078461,0.6378695964813232
42,1.1630380153656006,1.2509305477142334,75.0,64.28571428571429,82.6923076923077,85.71428571428571,0.00024973797743297113,0.6273689270019531
43,1.0738195776939392,1.0741219520568848,80.76923076923077,71.42857142857143,82.6923076923077,85.71428571428571,0.00024362864827930873,0.6205687522888184
44,1.2209921479225159,1.0635250806808472,69.23076923076923,78.57142857142857,82.6923076923077,85.71428571428571,0.00023747626291714514,0.6217474937438965
45,1.0695815086364746,1.1169564723968506,82.6923076923077,64.28571428571429,82.6923076923077,85.71428571428571,0.00023128689300804637,0.6123795509338379
46,1.2330329418182373,0.8414909839630127,71.15384615384616,100.0,82.6923076923077,85.71428571428571,0.00022506664671286108,0.6159019470214844
47,1.0592752397060394,1.301727056503296,80.76923076923077,64.28571428571429,82.6923076923077,85.71428571428571,0.00021882166266370303,0.6138591766357422
48,1.0230428576469421,1.3960261344909668,80.76923076923077,57.142857142857146,82.6923076923077,85.71428571428571,0.00021255810390586287,0.6153035163879395
49,1.147885501384735,1.294879674911499,71.15384615384616,57.142857142857146,82.6923076923077,85.71428571428571,0.00020628215181562584,0.6195776462554932
50,1.167779803276062,0.9664391279220581,75.0,85.71428571428571,82.6923076923077,85.71428571428571,0.00020000000000000017,0.6161899566650391
51,1.1327804923057556,1.2401483058929443,73.07692307692308,64.28571428571429,82.6923076923077,85.71428571428571,0.0001937178481843745,0.6122057437896729
52,1.121130883693695,1.3917492628097534,76.92307692307692,50.0,82.6923076923077,85.71428571428571,0.00018744189609413747,0.6119413375854492
53,1.1817229986190796,0.9648592472076416,76.92307692307692,78.57142857142857,82.6923076923077,85.71428571428571,0.00018117833733629726,0.6172366142272949
54,1.0380204021930695,1.280393123626709,78.84615384615384,64.28571428571429,82.6923076923077,85.71428571428571,0.0001749333532871393,0.6120240688323975
55,1.0979328751564026,1.0757642984390259,76.92307692307692,78.57142857142857,82.6923076923077,85.71428571428571,0.00016871310699195395,0.6138019561767578
56,1.2412810921669006,1.0719001293182373,73.07692307692308,71.42857142857143,82.6923076923077,85.71428571428571,0.0001625237370828552,0.6180446147918701
57,0.9882269203662872,1.2282545566558838,78.84615384615384,64.28571428571429,82.6923076923077,85.71428571428571,0.00015637135172069167,0.6116034984588623
58,1.1959757208824158,1.188949465751648,75.0,71.42857142857143,82.6923076923077,85.71428571428571,0.00015026202256702916,0.6152236461639404
59,1.13420569896698,1.0492472648620605,78.84615384615384,71.42857142857143,82.6923076923077,85.71428571428571,0.0001442017787921543,0.6158020496368408
60,1.2576602697372437,0.9738158583641052,69.23076923076923,85.71428571428571,82.6923076923077,85.71428571428571,0.0001381966011250107,0.6178610324859619
61,1.0813204646110535,1.0136038064956665,80.76923076923077,78.57142857142857,82.6923076923077,85.71428571428571,0.00013225241595094187,0.6184825897216797
62,1.0887430310249329,0.9770980477333069,76.92307692307692,92.85714285714286,82.6923076923077,85.71428571428571,0.0001263750894630646,0.6141793727874756
63,1.092735767364502,1.4622207880020142,73.07692307692308,64.28571428571429,82.6923076923077,85.71428571428571,0.00012057042187304399,0.6188998222351074
64,1.1931402087211609,1.3046618700027466,75.0,57.142857142857146,82.6923076923077,85.71428571428571,0.00011484414168698559,0.620450496673584
