,precision,recall,f1-score,support
Normal,0.0,0.0,0.0,2.0
Abnormal,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
accuracy,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
macro avg,0.4166666666666667,0.4166666666666667,0.4166666666666667,14.0
weighted avg,0.7142857142857143,0.7142857142857143,0.7142857142857143,14.0
