epoch,train_loss,val_loss,train_acc_action,train_acc_status,val_acc_action,val_acc_status,learning_rate
1,1.8035043478012085,1.7697927951812744,0.3076923076923077,0.40384615384615385,0.42857142857142855,0.8571428571428571,0.0004
2,1.7901170253753662,1.7590527534484863,0.3076923076923077,0.8269230769230769,0.42857142857142855,0.8571428571428571,0.0004
3,1.7729482054710388,1.7485332489013672,0.3076923076923077,0.8269230769230769,0.42857142857142855,0.8571428571428571,0.0004
4,1.7651317715644836,1.7361905574798584,0.3076923076923077,0.8269230769230769,0.42857142857142855,0.8571428571428571,0.0004
5,1.7532712817192078,1.7231608629226685,0.3076923076923077,0.8269230769230769,0.42857142857142855,0.8571428571428571,0.0004
6,1.7374577522277832,1.6936724185943604,0.3076923076923077,0.8269230769230769,0.42857142857142855,0.8571428571428571,0.0004
7,1.704214096069336,1.6766626834869385,0.34615384615384615,0.8269230769230769,0.35714285714285715,0.8571428571428571,0.0004
8,1.677554726600647,1.6357858180999756,0.34615384615384615,0.8269230769230769,0.2857142857142857,0.8571428571428571,0.0004
9,1.6041077971458435,1.5549840927124023,0.38461538461538464,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0004
10,1.5364791750907898,1.5476118326187134,0.36538461538461536,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0004
11,1.5556852221488953,1.5790727138519287,0.36538461538461536,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0004
12,1.589170515537262,1.5762617588043213,0.36538461538461536,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0004
13,1.5624579787254333,1.5637974739074707,0.36538461538461536,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0004
14,1.5709446668624878,1.5342525243759155,0.36538461538461536,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0004
15,1.5431532263755798,1.517176866531372,0.36538461538461536,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0004
16,1.5911206603050232,1.5038034915924072,0.4423076923076923,0.8269230769230769,0.5,0.8571428571428571,0.0004
17,1.5455467700958252,1.5174493789672852,0.4230769230769231,0.8269230769230769,0.2857142857142857,0.8571428571428571,0.0004
18,1.5223103761672974,1.50188410282135,0.4423076923076923,0.8269230769230769,0.35714285714285715,0.8571428571428571,0.0004
19,1.5274532437324524,1.5012409687042236,0.4230769230769231,0.8269230769230769,0.42857142857142855,0.8571428571428571,0.0004
20,1.5360180139541626,1.508041262626648,0.46153846153846156,0.8269230769230769,0.35714285714285715,0.8571428571428571,0.0004
21,1.5032985210418701,1.5541527271270752,0.40384615384615385,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0004
22,1.538841962814331,1.5030086040496826,0.38461538461538464,0.8269230769230769,0.2857142857142857,0.8571428571428571,0.0004
23,1.5627208948135376,1.5707502365112305,0.4230769230769231,0.8269230769230769,0.14285714285714285,0.8571428571428571,0.0004
24,1.5126956701278687,1.5068049430847168,0.38461538461538464,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0004
25,1.5030630826950073,1.5657418966293335,0.38461538461538464,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0004
26,1.505830466747284,1.516026496887207,0.36538461538461536,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0004
27,1.5103747248649597,1.5189547538757324,0.36538461538461536,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0004
28,1.5379171967506409,1.6051025390625,0.36538461538461536,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0004
29,1.4884392619132996,1.5881390571594238,0.36538461538461536,0.8269230769230769,0.21428571428571427,0.8571428571428571,0.0004
