,precision,recall,f1-score,support
Gait,0.6,1.0,0.75,3.0
Sitting,1.0,0.6,0.75,5.0
Standing,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
accuracy,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857
macro avg,0.8111111111111112,0.8111111111111112,0.7777777777777778,14.0
weighted avg,0.8428571428571429,0.7857142857142857,0.7857142857142857,14.0
